Transaction_ID,Date,Region,Product_Variant,Channel,Unit_Price,Units_Sold,Marketing_Spend,Logistics_Delay,Customer_Score
RB05641,2023-11-02,USA-WEST,Tropical Edition,extreme sports,85,391,10968.69,3,9.0
RB05924,2023-07-11,USA-WEST,Tropical Edition,extreme sports,85,608,21797.28,0,6.0
RB04510,2024-12-10,ASIA-PACIFIC,Original Blue,f1 sponsorship,80,525,34063.81,1,10.0
RB07816,2024-12-12,TH-NORTH,Sugarfree,TV Ad,90,625,20115.32,1,4.0
RB03650,2024-05-03,TH-CENTRAL,Original Blue,TV Ad,80,370,50722.07,1,7.0
RB01676,2023-05-01,TH-NORTH,Krating Daeng 250,TV Ad,60,581,45249.28,2,5.0
RB07303,2023-01-16,USA-EAST,Krating Daeng 250,f1 sponsorship,60,309,6303.75,2,6.0
RB08765,2023-02-14,TH-NORTH,Krating Daeng 250,Social Media,60,651,6229.86,0,7.0
RB03770,2024-09-01,TH-CENTRAL,Red Edition,Social Media,75,468,42258.18,1,5.0
RB04799,2024-05-02,TH-CENTRAL,Sugarfree,in-store promo,90,664,37454.51,1,6.0
RB02249,2024-01-14,TH-SOUTH,Original Blue,TV Ad,80,586,5973.44,1,6.0
RB07379,2023-11-26,TH-CENTRAL,Original Blue,f1 sponsorship,80,353,17092.12,5,6.0
RB07148,2024-05-24,TH-NORTH,Original Blue,f1 sponsorship,80,497,49740.38,3,7.0
RB07110,2023-09-15,TH-NORTH,Krating Daeng 250,Social Media,60,715,43579.07,2,1.0
RB09531,2024-09-15,USA-EAST,Tropical Edition,TV Ad,85,742,41333.39,2,5.0
RB06986-DUP,2023-02-09,EUROPE-EU,Sugarfree,f1 sponsorship,90,563,40885.93,0,5.0
RB09462,2024-12-31,USA-EAST,Tropical Edition,Social Media,85,614,8871.51,1,2.0
RB05790,2024-08-03,TH-NORTH,Original Blue,f1 sponsorship,80,557,41233.6,3,6.0
RB09304,2023-10-03,TH-NORTH,Original Blue,f1 sponsorship,80,587,56639.34,3,5.0
RB08629,2024-07-17,USA-EAST,Red Edition,in-store promo,75,558,57509.38,2,7.0
RB07032,2023-07-01,TH-NORTH,Red Edition,f1 sponsorship,75,501,41285.52,1,10.0
RB09483,2024-12-15,TH-SOUTH,Tropical Edition,extreme sports,85,478,44891.56,1,10.0
RB09521,2023-05-05,TH-NORTH,Sugarfree,f1 sponsorship,90,828,53102.16,2,2.0
RB04348,2023-08-19,ASIA-PACIFIC,Sugarfree,extreme sports,90,497,32658.19,1,7.0
RB02671,2024-02-04,USA-EAST,Original Blue,Social Media,80,696,33882.0,5,8.0
RB03057,2023-02-21,USA-EAST,Red Edition,f1 sponsorship,75,507,6141.43,2,5.0
RB04223,2023-11-21,TH-EAST,Red Edition,Social Media,75,623,57934.51,5,10.0
RB08283,2023-12-28,EUROPE-EU,Krating Daeng 250,in-store promo,60,545,22141.85,3,8.0
RB00836,2023-02-06,TH-CENTRAL,Tropical Edition,in-store promo,85,615,20871.6,2,6.0
RB05283,2024-10-16,TH-SOUTH,Red Edition,TV Ad,75,245,15252.0,5,5.0
RB01781,2023-08-27,TH-NORTH,Sugarfree,TV Ad,90,385,18347.27,1,6.0
RB00505,2023-05-04,EUROPE-EU,Original Blue,in-store promo,80,632,5786.31,3,7.0
RB00080,2023-11-16,TH-CENTRAL,Krating Daeng 250,extreme sports,60,416,50089.66,4,6.0
RB00629,2024-07-15,USA-WEST,Red Edition,f1 sponsorship,75,244,9593.9,1,2.0
RB04028,2023-01-20,ASIA-PACIFIC,Sugarfree,extreme sports,90,572,36606.07,1,2.0
RB01063,2024-03-31,EUROPE-EU,Krating Daeng 250,f1 sponsorship,60,437,5500.81,2,4.0
RB08718,2023-10-16,TH-CENTRAL,Red Edition,f1 sponsorship,75,584,44796.88,3,6.0
RB06344,2024-04-05,TH-NORTH,Tropical Edition,extreme sports,85,513,48737.6,5,9.0
RB01394,2024-01-04,EUROPE-EU,Krating Daeng 250,Social Media,60,623,34607.77,0,6.0
RB00592,2024-08-03,TH-NORTH,Red Edition,extreme sports,75,542,29671.33,5,10.0
RB06531,2023-02-27,USA-EAST,Sugarfree,extreme sports,90,453,54318.29,1,3.0
RB05422,2024-11-18,TH-CENTRAL,Original Blue,in-store promo,80,438,39500.89,2,7.0
RB03439,2024-03-30,TH-EAST,Sugarfree,Social Media,90,18568,36156.12,2,7.0
RB00993,2023-10-21,EUROPE-EU,Sugarfree,f1 sponsorship,90,418,22267.91,3,3.0
RB01909,2023-06-18,TH-CENTRAL,Sugarfree,TV Ad,90,350,38064.58,3,7.0
RB01247,2023-05-15,TH-NORTH,Red Edition,f1 sponsorship,75,577,43412.92,2,6.0
RB01874,2024-07-13,TH-NORTH,Original Blue,Social Media,80,627,59158.33,2,6.0
RB04890,2023-11-02,USA-WEST,Tropical Edition,f1 sponsorship,85,615,55104.8,3,7.0
RB09467,2024-01-04,TH-SOUTH,Original Blue,TV Ad,80,567,30312.93,4,10.0
RB01421,2024-11-20,EUROPE-EU,Tropical Edition,TV Ad,85,372,55900.77,4,7.0
RB09301,2024-09-05,TH-EAST,Krating Daeng 250,f1 sponsorship,60,625,20340.66,1,7.0
RB03109,2024-05-06,USA-WEST,Sugarfree,f1 sponsorship,90,517,34651.73,0,6.0
RB03449,2023-11-19,USA-WEST,Krating Daeng 250,TV Ad,60,684,10798.36,2,4.0
RB03683,2023-09-25,TH-NORTH,Sugarfree,TV Ad,90,789,23309.29,3,2.0
RB04287,2023-08-10,ASIA-PACIFIC,Krating Daeng 250,extreme sports,60,555,49104.08,1,8.0
RB05167,2024-04-21,USA-EAST,Red Edition,extreme sports,75,539,24468.45,4,8.0
RB01951,2023-09-15,TH-SOUTH,Krating Daeng 250,in-store promo,60,572,21223.87,0,8.0
RB01900,2024-10-27,TH-EAST,Original Blue,in-store promo,80,632,49497.14,0,6.0
RB05566,2024-06-06,TH-CENTRAL,Tropical Edition,f1 sponsorship,85,415,56698.66,3,8.0
RB04826,2023-02-28,TH-NORTH,Red Edition,f1 sponsorship,75,384,8000.82,0,4.0
RB06956,2024-10-18,TH-SOUTH,Tropical Edition,f1 sponsorship,85,437,25212.67,2,10.0
RB05856,2024-06-09,TH-SOUTH,Original Blue,f1 sponsorship,80,626,32658.19,0,10.0
RB01821,2023-09-30,TH-SOUTH,Tropical Edition,TV Ad,85,527,31842.7,5,10.0
RB08387,2023-10-24,TH-NORTH,Red Edition,in-store promo,75,585,17545.26,2,5.0
RB00085,2024-01-05,USA-WEST,Red Edition,Social Media,75,597,5065.38,2,8.0
RB03226,2023-11-03,TH-NORTH,Tropical Edition,TV Ad,85,640,36592.41,1,5.0
RB02446,2023-08-24,TH-SOUTH,Original Blue,in-store promo,80,537,39553.32,2,6.0
RB01216,2023-03-30,USA-EAST,Tropical Edition,extreme sports,85,682,34291.62,2,6.0
RB00637,2024-08-11,TH-CENTRAL,Krating Daeng 250,Social Media,60,579,47162.45,3,6.0
RB03474,2024-09-25,TH-CENTRAL,Original Blue,TV Ad,80,621,37913.98,2,9.0
RB04653,2023-09-08,TH-EAST,Tropical Edition,extreme sports,85,715,26964.32,3,8.0
RB08619,2024-01-05,USA-EAST,Red Edition,in-store promo,75,738,21338.28,1,6.0
RB06830,2024-12-17,USA-EAST,Red Edition,in-store promo,75,623,13586.84,1,1.0
RB07222,2024-10-25,TH-CENTRAL,Krating Daeng 250,extreme sports,60,575,59162.66,2,5.0
RB06290,2024-06-22,TH-CENTRAL,Red Edition,TV Ad,75,593,30062.72,2,7.0
RB09278,2023-01-27,USA-EAST,Tropical Edition,extreme sports,85,463,53153.67,0,8.0
RB05585,2023-04-02,USA-WEST,Tropical Edition,in-store promo,85,424,45838.33,0,7.0
RB09294,2024-12-27,TH-SOUTH,Original Blue,in-store promo,80,329,48711.08,5,7.0
RB01144,2023-06-17,USA-WEST,Tropical Edition,f1 sponsorship,85,321,54419.3,2,8.0
RB02038,2024-05-28,EUROPE-EU,Tropical Edition,in-store promo,85,657,58211.16,1,5.0
RB02751,2024-11-06,TH-EAST,Original Blue,TV Ad,80,473,5469.79,2,2.0
RB09339,2023-06-27,TH-CENTRAL,Tropical Edition,TV Ad,85,493,44971.94,3,8.0
RB00065,2024-12-07,TH-NORTH,Krating Daeng 250,f1 sponsorship,60,550,18479.71,1,6.0
RB05399,2023-12-07,TH-SOUTH,Sugarfree,TV Ad,90,675,35392.56,4,9.0
RB03467,2024-04-11,USA-EAST,Tropical Edition,extreme sports,85,562,46359.71,3,8.0
RB05536,2024-10-11,TH-CENTRAL,Tropical Edition,extreme sports,85,392,39901.11,1,4.0
RB04741,2024-02-04,TH-CENTRAL,Sugarfree,Social Media,90,432,9803.6,1,6.0
RB00097,2023-12-26,EUROPE-EU,Red Edition,extreme sports,75,459,31243.64,1,6.0
RB07339,2023-11-29,USA-EAST,Krating Daeng 250,TV Ad,60,725,49459.88,2,7.0
RB04282,2023-09-15,TH-CENTRAL,Krating Daeng 250,in-store promo,60,575,12631.71,5,6.0
RB04454,2023-11-17,TH-CENTRAL,Tropical Edition,Social Media,85,452,32658.19,3,6.0
RB07197,2023-02-25,USA-WEST,Sugarfree,f1 sponsorship,90,655,12150.86,3,9.0
RB00040,2023-04-24,TH-EAST,Sugarfree,f1 sponsorship,90,356,19147.6,3,6.0
RB02619,2023-10-15,TH-CENTRAL,Original Blue,in-store promo,80,692,47372.2,2,9.0
RB09396,2024-10-23,TH-CENTRAL,Original Blue,f1 sponsorship,80,540,35370.87,5,5.0
RB02790,2023-03-03,TH-NORTH,Krating Daeng 250,extreme sports,60,529,45472.13,0,5.0
RB05938,2023-01-13,USA-WEST,Red Edition,TV Ad,75,620,40571.52,1,8.0
RB02888,2023-10-26,TH-NORTH,Tropical Edition,TV Ad,85,477,52725.72,0,6.0
RB04449,2023-12-12,ASIA-PACIFIC,Sugarfree,TV Ad,90,433,19502.33,3,4.0
RB04738,2023-04-30,TH-NORTH,Original Blue,extreme sports,80,628,24793.15,4,5.0
RB07417,2024-05-21,TH-NORTH,Sugarfree,TV Ad,90,647,39454.51,2,7.0
RB00553,2024-11-17,TH-CENTRAL,Original Blue,f1 sponsorship,80,507,43790.79,4,4.0
RB02234,2024-02-14,EUROPE-EU,Sugarfree,f1 sponsorship,90,666,6357.03,2,6.0
RB05721,2023-02-22,TH-CENTRAL,Sugarfree,Social Media,90,689,30377.5,2,6.0
RB08725,2024-12-23,USA-WEST,Red Edition,Social Media,75,742,44350.96,2,2.0
RB06591,2024-06-28,TH-SOUTH,Original Blue,Social Media,80,676,22922.1,3,4.0
RB05598,2024-07-04,TH-CENTRAL,Red Edition,Social Media,75,490,44136.01,0,9.0
RB08733,2024-08-27,TH-SOUTH,Original Blue,f1 sponsorship,80,522,31392.15,4,10.0
RB00715,2024-04-27,USA-EAST,Sugarfree,f1 sponsorship,90,634,54269.94,5,4.0
RB02880,2023-02-14,TH-NORTH,Sugarfree,in-store promo,90,463,47532.33,3,6.0
RB01722,2023-07-13,USA-EAST,Sugarfree,Social Media,90,684,21540.27,3,6.0
RB07788,2024-01-21,ASIA-PACIFIC,Tropical Edition,Social Media,85,650,30199.31,1,10.0
RB05672-DUP,2024-10-09,ASIA-PACIFIC,Sugarfree,in-store promo,90,216,47057.13,4,6.0
RB09187,2023-03-27,TH-CENTRAL,Sugarfree,in-store promo,90,287,49224.5,2,8.0
